Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10360,11760,12230,13190,14000,14610,15640,16230,16370,17220,17620,17880,20000,19170,17890,20070,22630,19200,23340,21680,25510,23770,22370,22450,23520,24420,25190,26250,26560,26810,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,510,530,630,660,630,600,550,530,520,530
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,590,680,660,650,850,780,900,330,290,180,370,360,450,410,330,360,390,590,710,1010,1370,1810,2460,3030,3170,3230,3410,4170,4780,5010,4520,3770,3450,3210,2960
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,700,730,730,760,650,410,280,320,380,640,890,800,860,950,1100,1280,1370,1650,2100,2620,3050,3460,4030,4280,4360,4410,4360,4540,4540,4390,4320,4290,4860,5220
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110.10264,2148.521025,2241.518535,2306.246571,2307.79531,2279.612938,2403.051347,2492.222717,2466.404081,2672.462021,3067.221537,3511.901072,4034.549828,4630.60347,5437.683311,5509.46491,5791.157583,6040.388588,6975.725132,7487.541817,7534.251223,7043.064354,6581.751939,6082.452686,6282.600569,6491.01122
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400,31970,30940,32780,36160,37500,39380,39590,39910,35000,33400,35030,39220,42840,44330,42860,40570,39290,41470,43470
Argentina,ARG,,,,,1120,1230,1350,1240,1210,1300,1320,1470,1470,1820,2470,2720,2360,2220,2190,2630,2910,2820,2670,2870,2830,2700,3020,3590,3960,2930,3190,3860,6070,7120,7620,7360,7740,8150,8030,7580,7470,7000,4040,3650,3370,4260,5480,6510,7670,7790,9270,10710,11870,12840,12330,12570,12220,13140,12370,11130
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,360,400,470,520,560,590,610,660,710,800,960,1180,1540,2020,2760,3600,3340,3470,3530,3880,4110,4140,4010,3760,3950,4250,4680
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
